°íÀ¯¹øÈ£,¾ğ¾î,»óÈ£¸í,ÄÜÅÙÃ÷URL,ÁÖ¼Ò,½ÅÁÖ¼Ò,ÀüÈ­¹øÈ£,À¥»çÀÌÆ®,¿î¿µ½Ã°£,±³ÅëÁ¤º¸,È¨ÆäÀÌÁö ¾ğ¾î,´ëÇ¥¸Ş´º
12428,en,Jeongwon Sundubu,https://english.visitseoul.net/restaurants/Jeongwon-Sundubu-E/ENP012424?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP012424,"100-814 120-12, Seosomun-dong, Jung-gu, Seoul ","04513 30, Sejong-daero 11-gil, Jung-gu, Seoul ",-7814,,Weekdays 10:00 - 15:00 / 17:00 - 22:00 (KST) Saturday 10:30 - 15:00 (KST),"Subway Line 1, City Hall Station, Exit 9  ",,
14422,en,Sushi Tatsu,https://english.visitseoul.net/restaurants/Sushi-Tatsu1/ENP014420?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP014420,"135-010 8-6, Nonhyeon-dong, Gangnam-gu, Seoul ","06040 18, Dosan-daero 28-gil, Gangnam-gu, Seoul ",-3770,,Daily 12:00 - 15:00 & 18:00 - 22:00 (KST),"Subway Line 7, Hakdong Station, Exit 7  ",,
48337,ko,Àå¼öÇÑ¹æ»ï°èÅÁ,https://korean.visitseoul.net/restaurants/Jangsu/KOP7ia818?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP7ia818, ¼­¿ï ¸¶Æ÷±¸ µµÈ­µ¿ 173 ,"04157 ¼­¿ï ¸¶Æ÷±¸ ¸¶Æ÷´ë·Î 63-8 (µµÈ­µ¿, »ïÃ¢ÁÖÅÃ) ",-7134,,10:00 - 20:30 (15:00 - 17:00 ºê·¹ÀÌÅ©Å¸ÀÓ),"ÁöÇÏÃ¶ 5/6È£¼±/°øÇ×Ã¶µµ/°æÀÇÁß¾Ó¼± °ø´ö¿ª 1¹ø Ãâ±¸,  439m",,"ÇÑ¹æ»ï°èÅÁ, µé±ú»ï°èÅÁ "
14100,ja,«Á«ç«ó«É«ó¡¤«°«¯«·,https://japanese.visitseoul.net/restaurants/«Á«ç«ó«É«ó¡¤«°«¯«·-J/JPP014100?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014100,110-120 «½«¦«ëã¼ñé?ïöÔ× 22-2,04518 «½«¦«ëã¼«Á«å«ó«°(ñé?)«Á«ç«ó«É«ó«®«ë5 ,-766,,øÁìí 11:30 ~ 14:00 / 16:00 ~ 20:30 (KST) ÷Ïèøìí 11:30 ~ 19:00 (KST),"ò¢ù»? 5?àÊ ¡¸ «½«Ç«à«ó¡¹? 5ÛãõóÏ¢,  370m",,?×¾
5615,zh-CN,Phoenix(?üÅ),https://chinese.visitseoul.net/restaurants/Phoenix?üÅ/CNP005615?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP005615,135-840 âÏ?÷å?ã¼Ë°Ñõ?ÓŞö¹ŞÌÔ× 892,135-840 âÏ?ã¼Ë°Ñõ?ÓìıÙ?ÖØ440 ,-3006,http://www.posco19fl.co.kr/,11:30~15:00 / 17:30~21:30,2?? à¾×Õó×1?õóÏ¢,,"? 10,000~190,000 ?êªñ§éÓ"
6748,ja,Tumbler Beer,https://japanese.visitseoul.net/restaurants/Tumbler-Beer345/JPP006746?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP006746,06236 «½«¦«ëã¼Ë°Ñõ??ß²Ô×736-22 ,06236 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«Æ«Ø«é«ó«í20«®«ë15 (?ß²Ô×),-7123,,êÅ?÷Ï 16:00?24:00,"ò¢ù»?2?àÊ¡¸«è«¯«µ«à(?ß²)¡¹? 3ÛãõóÏ¢,  256m",,«Ó«¢«Û?«ë 
8596,zh-TW,ßËÛ®Óïï·Øı,https://tchinese.visitseoul.net/restaurants/Sarangbang-Kalguksu-TC/TCP008564?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP008564,100-013 âÏì³ã¼ñéÏ¡õ÷ÙëÖØ3Ê¶23-1 ,04555 âÏì³ã¼ñéÏ¡÷ÜÍ¢ÖØ27Ê¶46  ,-4212,,øÁìí 10:30-21:40 ñÎ×¿ 10:30-21:00 ñÎìí 10:30-16:00,"ò¢ôÑ3/4ûÜàÊ  õ÷ÙëÖØó×  6ûÜõóÏ¢,  336m",,
4296,zh-TW,ëàÚËÓæ,https://tchinese.visitseoul.net/restaurants/Eulmildae-TC/TCP004240?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP004240,121-872 âÏì³ã¼Ø«øİÏ¡ç¤×ìÔ×147-6 ,04138 âÏì³ã¼Ø«øİÏ¡âıÙşÊ¶24 ,-2559,,KST 11:00 ~ 22:00,"ò¢ôÑ6ûÜàÊ ÓŞıéó× 2ûÜõóÏ¢,  408m",,
2567,zh-TW,çİÓÑ,https://tchinese.visitseoul.net/restaurants/çİÓÑ/TCP002567?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP002567,  628-20,06026 âÏì³ã¼Ë°ÑõÏ¡?ñ¶ÖØ153Ê¶7 ,-4394,,11:30 ~ 15:00 / 17:30 ~ 21:30 (KST),3ûÜàÊääÏÎïÍó×3ûÜõóÏ¢,,
30963,en,Byeolnan Ori (Duck Cuisine),https://english.visitseoul.net/restaurants/Dongdaemun-Special-Duck-Byeolnan-Ori/ENP030870?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP030870,"110-842 464-30, Changsin-dong, Jongno-gu, Seoul ","03119 12, Jong-ro 46-gil, Jongno-gu, Seoul ",-5977,http://instagram.com/ddmspecialduck,Mon-Fri 11:00~22:00 (Break time 15:00~17:00) Sat 11:00~21:00,"Subway Line 1/4  Dongdaemun Station  Exit 6,  77m",KOR,
12793,zh-TW,Ceci Cela(Óöß£Íëê®ïÁ),https://tchinese.visitseoul.net/restaurants/Ceci-Cela-Óöß£Íëê®ïÁ/TCP012772?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP012772,135-897 âÏì³ã¼Ë°ÑõÏ¡Óöß£Ô×651-4 ,06021 âÏì³ã¼Ë°ÑõÏ¡Óöß£ÓŞÖØ45Ê¶10-4 ,-10468,,11:30 - 22:00 KST,"ò¢ôÑ â©ìÒİÎÓĞàÊ  ääÏÎïÍÔşÓìçóó× 5ûÜõóÏ¢,  699m",,
4591,ko,ÇÇ¾çÄáÇÒ¸¶´Ï,https://korean.visitseoul.net/restaurants/ÇÇ¾çÇÒ¸Ó´Ï/KOP004591?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004591, ¼­¿ï °­³²±¸ ´ëÄ¡µ¿ 894-14 ,06196 ¼­¿ï °­³²±¸ »ï¼º·Î81±æ 30 (´ëÄ¡µ¿) ,02-508-0476,https://piyang.modoo.at/,¸ÅÀÏ 11:30~22:00 ,"ÁöÇÏÃ¶ 2È£¼±/¼öÀÎºĞ´ç¼± ¼±¸ª¿ª 1¹ø Ãâ±¸,  632m",,"ÄáºñÁö, µé±ú¼öÁ¦ºñ, ¸¸µÎ±¹, ÄáºñÁöÀü°ñ, ÇÇ¾çÁ¢½Ã¸¸µÎ"
4569,ja,«Õ«¡«ó«È«Ã«®«ë ,https://japanese.visitseoul.net/restaurants/«Õ«¡«ó«È«Ã«®«ë/JPP004536?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP004536,121-804 «½«¦«ëØ«øİ?Íî?Ô×270-1  ,04142 «½«¦«ëã¼«Ş«İ(Ø«øİ)?«Ş«İ«Ç«í11«®«ë15-7  (Íî?Ô×),-12432,,KST 11£º30?22£º00 «Ö«ì«¤«¯«¿«¤«à 15:00?17:00,"ò¢ù»?5?àÊ/6?àÊ/«­«ç«ó«¤¡¤«Á«å«ó«¢«ó(ÌÈëù?ñéäç)àÊ/Íöùû?Ô³  ¡¸ «³«ó«É«¯¡¹?  3ÛãõóÏ¢,  458m",,
4898,zh-CN,Grand Ciel,https://chinese.visitseoul.net/restaurants/Grand-Ciel3/CNP004897?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP004897,135-895 âÏ?÷å?ã¼Ë°Ñõ?ãæŞÍÔ× 650-22,06021 âÏ?ã¼Ë°Ñõ??ß£ÓŞÖØ45Ê¶16-6 ,-751,https://www.instagram.com/grandciel.official/#,ÍïíÂìí£º10:00-15:00£¬17:00-22:00 ñ²ØÇ£º10:00-22:00,"ò¢?â©ìÒİÎÓĞ? ää?ïÍ?Óì?ó× 5?õóÏ¢,  703m",,ëòãÒÖù×â
2504,en,Daejangjangi Hwadeok Pizza Jip,https://english.visitseoul.net/restaurants/Daejangjangi-Hwadeok-Pizza-Jip/ENP002495?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP002495,"110-260 202-1, Gahoe-dong, Jongno-gu, Seoul ","03056 42-4, Bukchon-ro, Jongno-gu, Seoul ",-6038,,"Weekdays: 11:30?15:00, 17:00?21:00 / Weekends: 11:30?15:00, 16:30?21:00 KST","Subway Line 3, Anguk Station, Exit 2, 424m",,
14324,ja,«È«ó«®«ç«ó¡¤«¸«ç«ó«È«ó¡¤«æ«Ã«±«¸«ã«ó,https://japanese.visitseoul.net/restaurants/«È«ó«®«ç«ó¡¤«¸«ç«ó«È«ó¡¤«æ«Ã«±«¸«ã«ó-jp/JPP014323?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014323, «½«¦«ëË°Ñõ??ß²Ô×635-2 ,06130 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«Æ«Ø«é«ó«í7«®«ë22 (?ß²Ô×),-10265,,øÁìí 09:00 ~ 15:00 / 17:00 ~ 21:00 (KST) ñÎØÇ 09:30 ~ 15:00 (KST),"ò¢ù»?2?àÊ/«·«ó«Ö«ó«À«óàÊ¡¸«««ó«Ê«à¡¹? 12ÛãõóÏ¢,  348m",,
12489,ja,«ª«¸«ã«ó«É«óùàıéÕÒ?,https://japanese.visitseoul.net/restaurants/«ª«¸«ã«ó«É«ó¡¤«Ï«ó«Õ«ó«Í«ó«ß«ç«ó/JPP012488?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP012488,100-310 «½«¦«ëã¼ñé?çé?Ô× 90-10,04559 «½«¦«ëã¼«Á«å«ó«°(ñé?)«Ş«ë«ó«Í«í108 ,-11687,,11:00?20:00 (Break Time 15:30 ~ 17:00),"ò¢ù»? 2?àÊ  / 5?àÊ ¡¸ «¦«ë«¸«í«µ«¬¡¹?   8ÛãõóÏ¢,  356m ",,ÕÒ?
6752,zh-CN,áæ×ùÊ«,https://chinese.visitseoul.net/restaurants/Songlimga-CN/CNP006631?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006631,152-826 âÏ?ÎúÖÕ?ÍÔô©Ô× 69-34 ,08275 âÏ?ã¼ÎúÖÕ?ÌÈìÒÖØ398 ,-7937,http://www.songlimga.com,"11:30~15:00, 17:00~21:30 KST","ò¢?1?? ÎúÖÕó× 2?õóÏ¢,  643m",,Ë¬?ïÒãİ(çíóÉ) áæúÅïÒãİ åÙà¼
28687,ko,»ù¶óÀÌ¾ğ½º,https://korean.visitseoul.net/restaurants/»ù¶óÀÌ¾ğ-ÀÌÅÂ¿ø/KOP028687?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP028687,140-863 ¼­¿ï ¿ë»ê±¸ ÀÌÅÂ¿øµ¿ 116-15 ,04350 ¼­¿ï ¿ë»ê±¸ ÀÌÅÂ¿ø·Î27°¡±æ 50 (ÀÌÅÂ¿øµ¿) 2Ãş,02-795-7933,https://www.instagram.com/samryans.itaewon/,¿ù¿äÀÏ~¸ñ¿äÀÏ 15:00~01:00 ±İ¿äÀÏ 15:00~03:00 Åä¿äÀÏ 14:00~04:00 ÀÏ¿äÀÏ 14:00~02:00,"ÁöÇÏÃ¶ 6È£¼± ÀÌÅÂ¿ø¿ª 1¹ø Ãâ±¸,  141m",,"ÆäÆÛ·Î´Ï ÇÇÀÚ, ¸¶¸£°Ô¸®µû ÇÇÀÚ"
2492,ko,[¹é³â°¡°Ô] »ï¿ø°¡µç,https://korean.visitseoul.net/restaurants/»ï¿ø°¡µç--Samwongarden/KOP002488?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP002488,135-120 ¼­¿ï °­³²±¸ ½Å»çµ¿ 623-5,06023 ¼­¿ïÆ¯º°½Ã °­³²±¸ ¾ğÁÖ·Î 835 (½Å»çµ¿) ,02-548-3030,http://www.samwongarden.com/,¿ù¿äÀÏ~±İ¿äÀÏ 11:30~14:30 / 17:30~21:30 Åä¿äÀÏ~ÀÏ¿äÀÏ 11:30~14:30 / 17:00~21:30,"ÁöÇÏÃ¶ 3È£¼± ¾Ğ±¸Á¤¿ª 3¹ø Ãâ±¸,  522m",,ºÒ°í±â Bulgogi ÌÍë¿/ áÀë¿  ¾ç³ä°¥ºñ Grilled seasoned beef ribs ğàÚ«ÛÉÍé/ Ú«Üõª±«««ë«Ó  »ıµî½É Grilled fresh beef sirloin ãæàØ×ìô±/ ßæ«í«¹
4961,zh-TW,æ°â©ÔÔõ½(Yeosudongchon),https://tchinese.visitseoul.net/restaurants/æ°â©ÔÔõ½Yeosudongchon1/TCP004961?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP004961,06195 âÏì³÷åÜ¬ã¼Ë°ÑõÏ¡ÓŞö¹Ô× 903-18,06195 âÏì³ã¼Ë°ÑõÏ¡ß²à÷ÖØ75Ê¶9 ,-1006,,10:00 - 14:00 / 16:00 - 22:00 (KST) ñÎØÇ 11:00 - 22:00 (KST),"ò¢ôÑâ©ìÒİÎÓĞàÊ/2ûÜàÊ à¾×Õó× 1ûÜõóÏ¢,  1km",,ğèùí??Î§£¬ú­ØÄ??Î§
13887,zh-TW,DUOMO BOOKS & COOKS,https://tchinese.visitseoul.net/restaurants/DUOMO-BOOKS--COOKS2/TCP013884?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP013884,110-033 âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡üøí­Ô× 40-2,03042 âÏì³ã¼ñ¤ÖØÏ¡í¹ùÇÚ¦ÖØ16Ê¶5 ,-1552,https://www.instagram.com/hyojadongduomo/,"12:00~15:00, 18:00~21:00","ò¢ôÑ3ûÜàÊ ÌØÜØÏàó× 3ûÜõóÏ¢,  663m",,
4629,en,Sinheung Jeongyuk Sikdang ,https://english.visitseoul.net/restaurants/Sinheung-Jeongyuk-Sikdang-EN/ENP004626?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP004626,"135-841 908-2 Daechi-dong, Gangnam-gu, Seoul  ","06199 406, Yeoksam-ro, Gangnam-gu, Seoul ",-8632,,Daily 12:00-22:00 (KST),"Subway Line 2/ Suin Bundang Line  Seolleung Station  Exit 2,  480m ",,
28755,en,Sam Ryan's Sports Bar & Grill (Itaewon),https://english.visitseoul.net/restaurants/Sam-Ryans-Sports-Bar--Grill-Itaewon/ENP028687?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP028687,"140-863 116-15, Itaewon-dong, Yongsan-gu, Seoul	 ","04350 50, Itaewon-ro 27ga-gil, Yongsan-gu, Seoul ",-8648,https://www.instagram.com/samryans.itaewon/,Mon-Thu 15:00-01:00 Fri 15:00-03:00 Sat 14:00-04:00 Sun 14:00-02:00 ,"Subway Line 6  Itaewon Station  Exit 1,  141m",KOR,
6160,ja,Changgo43,https://japanese.visitseoul.net/restaurants/Changgo432/JPP006157?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP006157,150-749 «½«¦«ëã¼çµÔôøİ?æ£ëøÓöÔ× 36-2,07331 «½«¦«ëã¼«è«ó«É«¥«ó«İ«°(çµÔôøİ?)«¯«¯«Á«§«°«ß«å«ó«í6«®«ë33 M2Í­,-6481,http://www.changgo43.co.kr/,11:30~15:00¡¢17:30~22:00,"ò¢ù»? 5?àÊ/9?àÊ¡¸ «è«¤«É¡¹5ÛãõóÏ¢,  295m",,éÚë¿?ª­
4818,zh-TW,Ouga,https://tchinese.visitseoul.net/restaurants/Ouga-TC/TCP004698?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP004698,100-860 âÏì³ã¼ñéÏ¡õ÷ÙëÖØ2Ê¶12-13 ,04537 âÏì³ã¼ñéÏ¡Ù¥Ô×8gaÊ¶39 ,-8206,,11:00~22:00 KST,"ò¢ôÑ 4ûÜàÊ Ù¥Ô×ó× 9ûÜõóÏ¢,  132m",,
46483,zh-CN,ãæÓÑÔ×ô»?ÔçñÔ,https://chinese.visitseoul.net/restaurants/2024-cheonpatjuk/CNPcjntf2?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNPcjntf2, ¼­¿ï Áß±¸ ½Å´çµ¿ 120-26 ,04577 âÏ?ñé?Òşß£ÖØ44Ê¶ 33 ,-8542,,Øßô¸ 10:30 ~ 20:00 (õÌı¨ïÈ??? 19:30),"ò¢?2/6??  ãæÓÑó×  4?õóÏ¢,  78m",,
38042,zh-TW,Le Petit Four THEúŞÓÛâÏì³ïÁ,https://tchinese.visitseoul.net/restaurants/Le-Petit-Four-THEúŞÓÛâÏì³ïÁ/TCP038023?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP038023, âÏì³çµÔôøİÏ¡æ£ëøÓöÔ×22 ,07335 âÏì³çµÔôøİÏ¡æ£ëøÓŞÖØ108£¨æ£ëøÓöÔ×£¬Parc1£© THEúŞÓÛâÏì³ò¢ù»1öµ,-11707,https://lepetitfour.modoo.at/,øÁìí£º10:30ò¸20:00 ñÎçéĞàñÎØÇ£º10:30ò¸20:30 (KST) ,5ûÜàÊæ£ëøÔ¤Ï¢ó××î1ûÜõóÏ¢427Ú· ,ùÛåŞ,Ø©?×£ÏéÓ±£º7800ùÛêª Ø©?×££º2200ùÛêª 
49421,zh-CN,?â©Òı?,https://chinese.visitseoul.net/restaurants/Seongsudarak/CNPmmx0cv?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNPmmx0cv, âÏ?ã¼àò??ÔÀ?ÖØ9Ê¶20 2? ,04784 âÏ?ã¼àò??ÔÀ?ÖØ9Ê¶20 2? ,-10971,http://www.instagram.com/seongsudarak,Øßô¸ 11:30-21:15,ò¢?2???â©ó×3?õóÏ¢£¬577m,??,
21761,zh-TW,DureØığÉ,https://tchinese.visitseoul.net/restaurants/DureØığÉ/TCP021598?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP021598,135-895 âÏì³ã¼ã¼Ë°ÑõÏ¡ãæŞŞÔ×626-79 ,06024 âÏì³ã¼Ë°ÑõÏ¡Óöß£ÓŞÖØ37Ê¶28ûÜ ,-4785,,ñÎìé~ñÎçé 10:30~21:00 KST,ò¢ôÑ3ûÜàÊääÏÎïÍó×3ûÜõóÏ¢ñËÖØ5İÂñ¤,,
7894,zh-CN,Pooja,https://chinese.visitseoul.net/restaurants/Pooja-CN/CNP007890?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP007890,110-840 âÏ??ÖØ?óããáÔ× 207 ,03104 âÏ?ã¼?ÖØ??ÖØ327 ,-2863,,Øßô¸ 11:00~23:00 ,"ò¢?1??  ??îñó×  8?õóÏ¢,  102m",,
3078,ja,«Ê«°«©«ó£¨«á«¤«Õ«£?«ë«É«Û«Æ«ë£©,https://japanese.visitseoul.net/restaurants/«Ê«°«©«ó£¨«á«¤«Õ«£?«ë«É«Û«Æ«ë£©/JPP003077?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP003077,157-290 «½«¦«ëã¼Ë°à¤?èâÛ¤ß£Ô× 426,07506 «½«¦«ëã¼«««ó«½«°(Ë°à¤?)«Ñ«ó«Õ«¡«Ç«í94 ,-10868,http://www.mayfield.co.kr,"11:30~14:30, 17:30~21:30 KST",ò¢ù»?5/9?àÊ ¡¸«­«ó«İ«´«ó«Ï«ó¡¹?  7Ûã?ªêíŞ«·«ã«È«ë«Ğ«¹××éÄ  ,,ùÛÏĞéÚü£«íìé«¹ ùÛÏĞéÚ÷åàÔÓŞ«««ë«Ó ùÛÏĞéÚ÷åàÔ«ä«ó«Ë«ç«àÓŞ«««ë«Ó
4986,ja,«è«ó«É«ó¡¤«½«ë«í«ó«¿«ó,https://japanese.visitseoul.net/restaurants/«è«ó«É«ó¡¤«½«ë«í«ó«¿«ó/JPP004984?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP004984,137-902 «½«¦«ëã¼ßúõ®?œüêÂÔ×10-53 ,06525 «½«¦«ëã¼«½«Á«ç(ßúõ®)?«««ó«Ê«à«Ç«í101«¢«ó«®«ë24 (œüêÂÔ×),-5179,,24ãÁÊà?åö,"ò¢ù»?3?àÊ/«¹«¤«ó¡¤«Ö«ó«À«ó(â©ìÒ¡¤İÎÓĞ)àÊ¡¸«·«ó«µ¡¹? 5ÛãõóÏ¢,  260m",,«½«ë«í«ó«¿«ó(éÚÍéë¿ªÎí´?ªß«¹?«×)
26351,zh-TW,Ñâê®Ò´?ïÁ,https://tchinese.visitseoul.net/restaurants/äÅê®??ïÁ/TCP026190?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP026190, âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡äÅêÂÔ× 9 ,03132 âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡ß²ìéÓŞÖØ 438 ,-6231,,08:00~21:00,"ò¢ôÑ1/3/5ûÜàÊ ñ¤ÖØ3Ê¶ó× 5ûÜõóÏ¢,  202m",,
49532,en,Cafe Jinjeongseong Hangang Coffee House,https://english.visitseoul.net/restaurants/cafejinjungsung/ENP7byvis?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP7byvis," Yanghwa Bridge, 313, Seonyu-ro, Yeongdeungpo-gu, Seoul ","07200 Yanghwa Bridge, 313, Seonyu-ro, Yeongdeungpo-gu, Seoul ",-12060,https://www.cafejinjungsung.com/,Daily 10:00-21:00,"Subway Line 9, Seonyudo Station, Exit 4, 885m ",KOR,
13374,zh-CN,à´ß£ïÍ(Seoksanjeong),https://chinese.visitseoul.net/restaurants/à´ß£ïÍSeoksanjeong-CN/CNP013374?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP013374,100-340 âÏ?÷å?ã¼ñé?ß£×ùÔ× 296-1,04544 âÏ?ã¼ñé?ëàò¨ÖØ149-5 ,-11680,,10:00 ~ 15:00 / 16:30 ~ 22:00 (KST),2?? ëàò¨ÖØ3Ê¶ 6õóÏ¢  ,,"éÚ×ÎäÑë¿, éÚá³?ûı?"
7155,ja,ß¾Ô³«««ë«Ó«¿«¦«ó,https://japanese.visitseoul.net/restaurants/ß¾Ô³«««ë«Ó«¿«¦«ó1/JPP007155?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP007155,156-031 «½«¦«ëã¼ÔŞíÍ?ß¾Ô³1Ô× 526,156-031 «½«¦«ëã¼«È«ó«¸«ã«¯«°(ÔŞíÍ?)«á«Ü«ó«í13 ,-6228,http://kalbitown.co.kr/,11:30 ~ 21:30,7?àÊ «µ«ó«É 4ÛãõóÏ¢  ,ùÛ?åŞ,"«»«ó«««ë«Ó(«««ë«ÓªÎ?ë¿£º«ª?«¹«È«é«ê«¢ß§) 230g 38,000«¦«©«ó «ä«ó«Ë«ç«à«ï«ó«««ë«Ó(Ú«Üõª±«««ë«ÓªÎ?ë¿£º«ª?«¹«È«é«ê«¢ß§) 300g 32,000«¦«©«ó «Ï«Ì?«È«¥«ó«·«à(«í?«¹ªÎ?ë¿£ºùÛ?ß§) 150g 46,000«¦«©«ó"
6545,en,Sushi Hyo (Seocho branch),https://english.visitseoul.net/restaurants/Sushi-HyoSeocho-branch-EN/ENP006544?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP006544,  ,"06621 1327, Seocho-dong, Seocho-gu, Seoul ",-4035,,Daily 11:30 - 14:30 & 17:30 - 22:00,"Subway Line 2 & Sinbundang Line, Gangnam Station, Exits 5 & 6  ",,sushi
6547,ko,½º½ÃÈ¿(¼­ÃÊÁ¡),https://korean.visitseoul.net/restaurants/½º½ÃÈ¿¼­ÃÊÁ¡-KR/KOP006544?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006544, ¼­¿ï ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1327 ,06621 ¼­¿ï ¼­ÃÊ±¸ ¼­ÃÊ´ë·Î74±æ 23 (¼­ÃÊÅ¸¿îÆ®¶óÆÓ¸®½º) ,02-521-3593,,¿ù~Åä 11:30 ~ 14:30 / 18:00 ~ 22:00 ,"2È£¼±, ½ÅºĞ´ç¼± °­³²¿ª 5,6¹ø Ãâ±¸  ",,"½º½ÃÄÚ½º, ½ºÆä¼ÈÄÚ½º"
49529,ja,"CAF?, JINJUNGSUNG«Ï«ó«¬«ó(ùÓË°)ùÁô¹İ§«³?«Ò?«Ï«¦«¹",https://japanese.visitseoul.net/restaurants/cafejinjungsung/JPP7byvis?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP7byvis, «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«½«Ë«å«í313 «ä«ó«Õ«¡«Ç«®«ç(åÅü£ÓŞÎé) ,07200 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«½«Ë«å«í313 «ä«ó«Õ«¡«Ç«®«ç(åÅü£ÓŞÎé) ,-12060,https://www.cafejinjungsung.com/,?ìí 10:00-21:00,ò¢ù»?9?àÊ¡¸«½«Ë«å«É¡¹?4ÛãõóÏ¢ 885m,ùÛ?åŞ,
12208,zh-CN,øãÔ¬ñĞ????,https://chinese.visitseoul.net/restaurants/øãÔ¬ñĞ????/CNP012208?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP012208, âÏ?÷å?ã¼Ë°Ñõ???Ô×8-9 ,06040 âÏ?ã¼Ë°Ñõ???ÖØ149Ê¶5 ,-959,https://www.facebook.com/Winebookcafe ,17:00 ~ 24:00 (KST),7?? ?Ô×ó×7?õóÏ¢600Ú·ì¤?,,
12099,ko,´ë·Áµµ,https://korean.visitseoul.net/restaurants/´ë·Áµµ/KOP012099?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012099, ¼­¿ï °­³²±¸ ¿ª»ïµ¿ 833 ,06251 ¼­¿ï °­³²±¸ ¿ª»ï·Î 118 (¿ª»ïµ¿) ,02-555-0550,http://www.daeryudo.com/,¸ÅÀÏ 11:30 ~ 15:00 / 17:30 ~ 22:00,"ÁöÇÏÃ¶ 2È£¼±/½ÅºĞ´ç¼±  °­³²¿ª 4¹ø Ãâ±¸,  456m",ÇÑ±¹¾î,"À°Ç°³ÃÃ¤, °£Ç³¹Ù´Ù°¡Àç"
28802,zh-CN,Sam Ryan¡¯s×Ş÷ÁêÂïÁ,https://chinese.visitseoul.net/restaurants/Sam-Ryan¡¯s×Ş÷ÁêÂïÁ/CNP028687?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP028687,140-863 âÏ?ã¼?ß£?×Ş÷ÁêÂÔ×116-15 ,04350 âÏ?ã¼?ß£?×Ş÷ÁêÂÖØ27gaÊ¶50 (÷ÁêÂÔ×) 2?,-8648,https://www.instagram.com/samryans.itaewon/,ñ²ìéò¸ñ²ŞÌ 15:00-01:00 ñ²çé 15:00-03:00 ñ²×¿  14:00-04:00 ñ²ìí 14:00-02:00 ,"ò¢?6??  ×Ş÷ÁêÂó×  1?õóÏ¢,  141m",,â¢Íï?ÜÂ¡¢ÑÃŞÉ÷×ãıİÏ¡¢??ãÇ¡¢íÈ?×³
